Frequency (Hz),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
1,-0.006437285569516207,-0.3880785591625227
1.029274772409608,-0.006389293664222816,-0.4002821843155573
1.059406557118852,-0.00690121473596999,-0.4106354140677126
1.090420442967753,-0.006525861461094671,-0.4228839541549974
1.122342253266417,-0.006694066136433556,-0.4357314926712093
1.155198567296478,-0.006776647359293049,-0.4489493544361665
1.18901674244199,-0.006835635196657231,-0.4612772801017258
1.223824936968195,-0.006617236093778915,-0.4754122976003572
1.259652133467139,-0.006698423028843657,-0.489793606784275
1.296528162989669,-0.006938731931572016,-0.5024355784352963
1.334483729883838,-0.006854375284139487,-0.517546065559678
1.373550437360515,-0.007027385738123721,-0.532352427701948
1.413760813807361,-0.007211159503017065,-0.5477019896147617
1.455148339873194,-0.007189016902405204,-0.5641014254279648
1.4977474763452,-0.007095769260903275,-0.5822457637581229
1.541593692842274,-0.007220190663856933,-0.5980924689767235
1.586723497348318,-0.007218480781905677,-0.6147729390448475
1.633174466610167,-0.007464387690248434,-0.6338264874239741
1.680985277425366,-0.00750146853067908,-0.6525829252558424
1.730195738845894,-0.007429955567181128,-0.6712210058619803
1.780846825324681,-0.007438373625632252,-0.6891605932280243
1.832980710832434,-0.007739903008707995,-0.7103051318258622
1.886640803973258,-0.007506247671133495,-0.7295079406852665
1.941871784128255,-0.007590939791356515,-0.7517081558218308
1.998719638657253,-0.007726462996300933,-0.775012414360873
2.057231701189553,-0.007777846684666905,-0.7958796779773252
2.117456691035712,-0.007801745436383303,-0.8196278676204827
2.179444753752988,-0.008127152655180395,-0.8434959713395074
2.24324750289842,-0.008053649739491592,-0.8677043903558683
2.308918063004192,-0.00804456852106197,-0.8935410147244625
2.376511113811073,-0.008546452948108487,-0.9199721830640826
2.446082935796801,-0.008448708212821465,-0.9453054293144945
2.517691457037277,-0.008619830987247947,-0.9740860346743396
2.591396301439657,-0.008862805681683336,-1.002426080149045
2.667258838387408,-0.008857080856832239,-1.030707744457118
2.745342233838714,-0.008900129280482894,-1.06102838764599
2.825711502920827,-0.008910131892273611,-1.091763869743716
2.908433564064045,-0.009040196151239566,-1.123796096378669
2.99357729472049,-0.009409292498975087,-1.15700296683886
3.081213588714009,-0.009331376715896436,-1.191245699811674
3.171415415268996,-0.009584420044848376,-1.223147790543663
3.264257879767324,-0.009499392143095519,-1.260464945917818
3.359818286283781,-0.009762730320480192,-1.297152300124807
3.458176201952384,-0.009999709946850593,-1.333227524570731
3.559413523216862,-0.01052389308686676,-1.373885678786955
